"block","lot","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","sale_price","borough_Manhattan","borough_Queens","borough_Staten Island","tax_class_at_present_1","tax_class_at_present_1A","tax_class_at_present_1C","tax_class_at_present_2","tax_class_at_present_2A","tax_class_at_present_2B","tax_class_at_present_2C","tax_class_at_present_4"
3423,52,2,0,2,-0.274591178692993,-0.0700959301809301,1925,1,810000,0,0,0,1,0,0,0,0,0,0,0
860,58,2,0,2,0.149720187214914,0.0335450790449433,1930,1,1599000,0,1,0,1,0,0,0,0,0,0,0
2495,1005,0,0,0,-1.00853516296613,-0.0771069396285627,2015,2,1337045,0,0,0,0,0,0,0,0,0,1,0
9179,25,1,0,1,-0.0195456441580785,-0.0530256463084333,1910,1,245500,0,1,0,1,0,0,0,0,0,0,0
16173,1015,0,0,0,-1.00853516296613,-0.0476403781819909,0,2,795000,0,1,0,0,0,0,1,0,0,0,0
1331,1005,0,0,0,-1.00853516296613,-0.119985866974954,0,2,845000,1,0,0,0,0,0,1,0,0,0,0
2530,1122,0,0,0,-1.00853516296613,-0.123440567282483,2017,2,1109893,0,0,0,0,0,0,1,0,0,0,0
2631,20,1,0,1,1.28503978788742,-0.0682669711945912,1901,1,2e+05,0,0,1,1,0,0,0,0,0,0,0
4043,35,1,0,1,0.789627598503055,-0.102610756604734,1960,1,329550,0,0,1,1,0,0,0,0,0,0,0
973,1081,0,0,0,-1.00853516296613,-0.134820756530814,0,2,4e+05,0,1,0,0,0,0,1,0,0,0,0
8726,1110,0,0,0,-1.00853516296613,-0.184609084492263,2015,2,1425550,0,0,0,0,0,0,0,0,0,1,0
3753,56,2,0,2,0.138252312460646,0.00793965323619808,1910,1,484280,0,0,0,1,0,0,0,0,0,0,0
1168,1039,0,0,0,-1.00853516296613,-0.075582807139947,2007,2,2325000,1,0,0,0,0,0,1,0,0,0,0
8661,1016,0,0,0,-1.00853516296613,-0.184609084492263,2009,4,455000,0,0,0,0,0,0,0,0,0,0,1
797,1802,0,0,0,-1.00853516296613,-0.0756844159725213,2012,2,2400000,1,0,0,0,0,0,1,0,0,0,0
2862,1018,0,0,0,-1.00853516296613,-0.101493059446415,1985,2,235000,0,0,1,0,0,0,1,0,0,0,0
4995,1027,0,0,0,-1.00853516296613,-0.14701381643974,2015,2,209675,0,1,0,0,0,0,1,0,0,0,0
614,51,6,0,6,0.0777019337581121,0.172342744341554,1923,2,1900000,0,1,0,0,0,0,0,1,0,0,0
10988,16,1,0,1,0.229995310494788,-0.0327038797935562,1920,1,650000,0,1,0,1,0,0,0,0,0,0,0
2740,85,2,0,2,0.138252312460646,0.0632148581566639,1901,1,384800,0,0,0,1,0,0,0,0,0,0,0
5378,48,4,0,4,-0.0911051826247093,0.0741886120746976,1930,2,1250000,0,0,0,0,0,0,0,1,0,0,0
539,32,1,0,1,-0.132389531740073,-0.0940756146684852,1910,1,234234,0,0,1,1,0,0,0,0,0,0,0
1460,1013,0,0,0,-1.00853516296613,-0.0802568134383687,1959,2,1450000,1,0,0,0,0,0,1,0,0,0,0
1327,1123,0,0,0,-1.00853516296613,-0.161950314828175,1990,2,539000,1,0,0,0,0,0,1,0,0,0,0
4080,29,10,0,10,0.500637154695507,0.701318326723806,1930,2,1362627,0,0,0,0,0,0,0,0,1,0,0
1487,6,0,2,2,-0.347985577120307,0.246923627451153,1905,4,1995000,0,0,0,0,0,0,0,0,0,0,1
2340,22,1,0,1,-0.0911051826247093,-0.0579028702720038,1940,1,695000,0,1,0,1,0,0,0,0,0,0,0
1802,30,2,0,2,-0.0911051826247093,0.0437059623023818,1899,1,1375000,0,0,0,1,0,0,0,0,0,0,0
267,1232,0,0,0,-1.00853516296613,-0.151484605073013,2007,2,640000,0,1,0,0,0,0,1,0,0,0,0
3412,21,2,0,2,-0.13697668164178,-0.007098453984811,1899,1,950000,0,0,0,1,0,0,0,0,0,0,0
2742,1121,0,0,0,-1.00853516296613,-0.110739463210684,2018,2,1265000,0,0,0,0,0,0,1,0,0,0,0
15772,92,1,0,1,0.533664633987798,-0.000595488700050319,1920,1,175000,0,1,0,1,0,0,0,0,0,0,0
60,18,1,0,1,0.184123811477717,-0.119274605146933,1920,1,245000,0,0,1,1,0,0,0,0,0,0,0
5421,1062,0,0,0,-1.00853516296613,-0.123237349617334,2017,2,784053,0,0,0,0,0,0,1,0,0,0,0
31,1142,0,0,0,-1.00853516296613,-0.0824922077550052,1904,2,1325000,0,0,0,0,0,0,1,0,0,0,0
4062,37,2,0,2,-0.0911051826247093,-0.0162432489165057,1920,1,436000,0,0,0,1,0,0,0,0,0,0,0
766,1212,0,0,0,-1.00853516296613,-0.141730157145872,1989,2,1075000,1,0,0,0,0,0,1,0,0,0,0
1056,7,2,0,2,-0.260371013997701,-0.0166496842468033,1901,1,2307500,0,0,0,1,0,0,0,0,0,0,0
7782,79,1,0,1,0.826324797716711,-0.0772085484611371,1950,1,750000,0,1,0,1,0,0,0,0,0,0,0
7856,63,2,0,2,0.245132905170421,0.00103025262113985,1960,1,8e+05,0,0,0,1,0,0,0,0,0,0,0
9805,49,1,0,1,-0.458077174761278,-0.0477419870145653,1920,1,40000,0,1,0,1,0,0,0,0,0,0,0
11147,37,1,0,1,0.941003545259389,-0.0812729017641126,1955,1,690000,0,1,0,1,0,0,0,0,0,0,0
1736,1149,0,0,0,-1.00853516296613,-0.0980383591388862,2015,2,965086,1,0,0,0,0,0,1,0,0,0,0
5249,10,2,0,2,-0.0911051826247093,0.035577255696431,1901,1,269000,0,0,0,1,0,0,0,0,0,0,0
3217,46,1,0,1,0.79971932828681,0.00661873841273106,1925,1,1685000,0,1,0,1,0,0,0,0,0,0,0
6377,1136,0,0,0,-1.00853516296613,-0.146505772276868,2015,2,537636,0,0,0,0,0,0,1,0,0,0,0
1143,1311,0,0,0,-1.00853516296613,-0.158292396855497,0,2,585000,1,0,0,0,0,0,1,0,0,0,0
1269,1002,0,0,0,-1.00853516296613,-0.100578579953246,1982,2,990000,1,0,0,0,0,0,1,0,0,0,0
4113,38,2,1,3,0.138252312460646,0.0687017351156807,1929,1,720000,0,0,0,1,0,0,0,0,0,0,0
3867,35,2,0,2,0.138252312460646,0.0536636278946716,1940,1,585000,0,0,0,1,0,0,0,0,0,0,0
953,1001,0,0,0,-1.00853516296613,-0.155955393706286,1931,2,380000,0,0,0,0,0,0,0,0,0,1,0
11417,1408,0,0,0,-1.00853516296613,-0.0870646052208525,1964,2,345000,0,1,0,0,0,0,1,0,0,0,0
9508,54,3,0,3,-0.0911051826247093,0.154662807473611,1910,1,990000,0,1,0,1,0,0,0,0,0,0,0
1986,1043,0,0,0,-1.00853516296613,-0.180646340021862,0,4,18676,0,0,0,0,0,0,0,0,0,0,1
1944,1233,0,0,0,-1.00853516296613,-0.126184005761991,1910,2,222847,1,0,0,0,0,0,1,0,0,0,0
4285,57,0,0,0,-0.228719679675922,-0.15951170284639,1931,4,1300000,0,0,0,0,0,0,0,0,0,0,1
11101,75,2,0,2,0.977700744473046,0.0588456783559653,2005,1,725000,0,1,0,1,0,0,0,0,0,0,0
10378,26,2,0,2,1.05705843777258,0.0280582020859264,2002,1,691200,0,1,0,1,0,0,0,0,0,0,0
5913,47,1,0,1,-0.209453650088753,-0.0707055831763764,1925,1,820000,0,0,0,1,0,0,0,0,0,0,0
2903,8,1,0,1,0.103848688197843,-0.0548546052947723,2005,1,639000,0,0,1,1,0,0,0,0,0,0,0
3665,19,3,0,3,0.138252312460646,0.0741886120746976,2006,1,974903,0,1,0,1,0,0,0,0,0,0,0
5205,37,1,0,1,-0.623214571222733,-0.049774163666053,1990,1,4e+05,0,0,1,1,0,0,0,0,0,0,0
21,1110,0,0,0,-1.00853516296613,-0.122729305454462,2008,2,1250000,0,1,0,0,0,0,1,0,0,0,0
13307,108,0,3,3,3.14742264798051,0.358693343282978,1965,4,2075000,0,1,0,0,0,0,0,0,0,0,1
1223,1427,0,0,0,-1.00853516296613,-0.101493059446415,1973,2,1590000,1,0,0,0,0,0,1,0,0,0,0
6580,1344,0,0,0,-1.00853516296613,-0.183694604999093,2007,4,51753,0,0,0,0,0,0,0,0,0,0,1
8031,18,1,0,1,1.49604868336595,0.064027728817259,1953,1,677500,0,0,1,1,0,0,0,0,0,0,0
