"category_id","views","likes","dislikes","comment_count","ratings_disabled_True","video_error_or_removed_False","video_error_or_removed_True"
23,-0.122698059976327,0.494446340752158,-0.0985929491883032,-0.0164180988606682,0,1,0
24,-0.309393731818238,-0.383248258887647,-0.148724658375719,-0.255749999277821,0,1,0
24,-0.305335233163858,-0.369055285792598,-0.146001599533574,-0.252396906886943,0,1,0
10,-0.303606576353837,-0.361522862004993,-0.147353333778955,-0.245927410979837,0,1,0
10,-0.225458675752494,-0.143048268906232,-0.126861826233024,-0.140028863646748,0,1,0
24,-0.307170399133506,-0.37901180649553,-0.145433479343486,-0.251765736554542,0,1,0
25,-0.310742953034409,-0.383702777059271,-0.148685477672955,-0.257170132525722,0,1,0
10,-0.0305191423583564,-0.0239816595698765,0.0526641538347682,-0.141567341331975,0,1,0
22,-0.310787345000199,-0.384294508263838,-0.148881381186778,-0.25782102693101,0,1,0
24,-0.306570371235717,-0.38076698987526,-0.148254489942543,-0.254270693811257,0,1,0
10,-0.306089791388058,-0.371227825480863,-0.148097767131484,-0.250957049566154,0,1,0
10,-0.288860817129719,-0.231247663040101,-0.145707744262838,-0.197189226874778,0,1,0
22,-0.288674991519367,-0.370281627274526,-0.145531431100397,-0.254014280863719,0,1,0
15,-0.288506470360136,-0.329152020649839,-0.144199287206398,-0.239359294708293,0,1,0
24,-0.302937488442917,-0.358061091528034,-0.147608008346926,-0.236242891192065,0,1,0
10,-0.246142649357778,-0.29106111098387,-0.0271273473455154,-0.0748013546077238,0,1,0
22,-0.301378404734445,-0.373108787474124,-0.143219769637281,-0.251390979169679,0,1,0
27,-0.296718352865916,-0.352638318121929,-0.144845768802015,-0.226834508424718,0,1,0
26,-0.293403840415448,-0.320633378187956,-0.135285677327432,-0.227958780579307,0,1,0
10,-0.306870122199032,-0.373320324233245,-0.148685477672955,-0.246992510915763,0,1,0
10,-0.210693823775317,-0.196138278235791,-0.10115928521939,-0.169437456322039,0,1,0
26,-0.299396598005765,-0.343502217011803,-0.141201963444899,-0.236321787483615,0,1,0
24,-0.278649034487401,-0.369020982534362,-0.145041672315839,-0.248925470058739,0,1,0
10,-0.30379860842386,-0.36392694868635,-0.147255382022043,-0.251726288408767,0,1,0
22,-0.304921504250463,-0.367191475428454,-0.144473552125751,-0.250976773639041,0,1,0
10,0.195734136563163,1.93363954003386,0.167169757664564,0.915228759908393,0,1,0
1,-0.163951924042584,-0.359021582758635,-0.130603583347052,-0.229615602701859,0,1,0
22,-0.295433037145522,-0.340803694030589,-0.14145663801287,-0.23874784844878,0,1,0
24,-0.308077488993715,-0.381773218783509,-0.148763839078484,-0.256815099213747,0,1,0
26,-0.306833830189085,-0.378697359961702,-0.147372924130338,-0.253895936426394,0,1,0
26,-0.237783810510271,-0.137957093663073,-0.114226049591413,-0.24399445183686,0,1,0
1,-0.151147261379465,-0.123132368895515,-0.0948120113715109,-0.116458596546163,0,1,0
26,-0.308682671408858,-0.384268780820161,-0.148842200484013,-0.256065584444021,0,1,0
24,-0.268180946099472,-0.307443775396303,-0.110229617909415,-0.159417627295179,0,1,0
24,-0.291422454463695,-0.383045297943086,-0.146961526751308,-0.255651378913383,0,1,0
